task_id,title,description,created_by,assigned_to,category,created_at,due_date,est_duration_minutes,actual_duration_minutes,priority_level,priority_score,completed_on_time,urgency_keywords,creator_role,status
1,Development task #1,Please work on development for project #38.,user_2,user_1,Development,2025-09-08,2025-09-12,131,127,Medium,47.45,True,No,Developer,Done
2,Design task #2,Kindly work on design for project #46.,user_1,user_1,Design,2025-09-07,2025-09-11,318,294,Low,37.93,True,No,Manager,Done
3,Development task #3,Kindly work on development for project #45.,user_9,user_7,Development,2025-09-15,2025-09-25,202,173,Medium,49.72,True,No,Team Lead,Done
4,Design task #4, work on design for project #7.,user_6,user_5,Design,2025-09-07,2025-09-13,112,105,Medium,62.85,True,No,Team Lead,Done
5,Meeting task #5,Please work on meeting for project #25.,user_6,user_10,Meeting,2025-09-26,2025-09-27,433,520,Low,36.49,False,No,Developer,Pending
6,Testing task #6,Please work on testing for project #43.,user_5,user_10,Testing,2025-09-19,2025-09-23,420,407,Low,36.49,True,No,Developer,Done
7,Documentation task #7, work on documentation for project #41.,user_5,user_2,Documentation,2025-09-28,2025-09-30,254,295,Medium,63.69,True,No,Team Lead,Done
8,Meeting task #8,Kindly work on meeting for project #35.,user_3,user_6,Meeting,2025-09-07,2025-09-12,419,407,Medium,51.51,True,No,Developer,Done
9,Development task #9,Kindly work on development for project #44.,user_4,user_3,Development,2025-09-13,2025-09-18,387,499,Low,32.96,True,No,QA Engineer,Done
10,Meeting task #10,Please work on meeting for project #14.,user_1,user_4,Meeting,2025-09-26,2025-10-02,265,303,Medium,48.14,True,No,Manager,Done
11,Testing task #11,Kindly work on testing for project #16.,user_6,user_4,Testing,2025-09-13,2025-09-21,133,170,Low,33.05,True,No,QA Engineer,Done
12,Development task #12, work on development for project #24.,user_9,user_9,Development,2025-09-24,2025-10-04,279,398,Low,33.01,True,No,Developer,Done
13,Documentation task #13,Kindly work on documentation for project #44.,user_3,user_9,Documentation,2025-09-03,2025-09-04,116,125,Medium,43.63,True,No,QA Engineer,Done
14,Design task #14,Urgently work on design for project #36.,user_10,user_2,Design,2025-09-13,2025-09-23,299,404,Medium,41.3,True,Yes,QA Engineer,Done
15,Bug Fixing task #15, work on bug fixing for project #11.,user_2,user_9,Bug Fixing,2025-09-25,2025-10-01,117,162,Low,14.13,True,No,Developer,Done
16,Design task #16,Kindly work on design for project #10.,user_1,user_5,Design,2025-09-17,2025-09-19,380,426,Low,31.57,True,No,Team Lead,Done
17,Meeting task #17,Please work on meeting for project #24.,user_3,user_9,Meeting,2025-09-20,2025-09-26,310,284,Low,24.81,True,No,Manager,Done
18,Meeting task #18, work on meeting for project #5.,user_4,user_1,Meeting,2025-09-29,2025-10-09,100,91,Medium,44.71,True,No,Team Lead,Done
19,Testing task #19, work on testing for project #14.,user_3,user_3,Testing,2025-09-18,2025-09-21,195,300,Low,26.38,True,No,QA Engineer,Done
20,Testing task #20, work on testing for project #8.,user_4,user_5,Testing,2025-09-22,2025-09-28,284,386,Low,18.82,True,No,QA Engineer,Done
21,Documentation task #21,Kindly work on documentation for project #1.,user_4,user_2,Documentation,2025-09-01,2025-09-11,343,371,Medium,61.98,True,No,Developer,Done
22,Bug Fixing task #22,Kindly work on bug fixing for project #18.,user_1,user_4,Bug Fixing,2025-09-29,2025-09-30,229,217,Low,36.61,True,No,Manager,Done
23,Development task #23,Kindly work on development for project #31.,user_8,user_4,Development,2025-09-24,2025-10-04,355,446,Medium,41.01,True,No,Team Lead,Done
24,Design task #24, work on design for project #30.,user_4,user_2,Design,2025-09-22,2025-09-29,241,319,Low,18.63,True,No,Manager,Done
25,Development task #25,Kindly work on development for project #13.,user_1,user_2,Development,2025-09-13,2025-09-19,469,466,Low,31.83,True,No,Manager,Done
26,Documentation task #26,Kindly work on documentation for project #5.,user_9,user_8,Documentation,2025-09-14,2025-09-17,202,290,Medium,41.66,True,No,Team Lead,Done
27,Design task #27,Kindly work on design for project #11.,user_9,user_2,Design,2025-09-21,2025-09-30,67,60,Low,22.74,True,No,Manager,Done
28,Design task #28, work on design for project #1.,user_8,user_8,Design,2025-09-28,2025-10-05,90,102,Medium,45.64,True,No,Team Lead,Done
29,Design task #29,Kindly work on design for project #13.,user_5,user_8,Design,2025-09-14,2025-09-23,398,492,Low,30.99,True,No,Developer,Done
30,Meeting task #30, work on meeting for project #33.,user_4,user_1,Meeting,2025-09-24,2025-09-30,89,71,Low,35.62,True,No,Manager,Done
31,Testing task #31,Kindly work on testing for project #26.,user_3,user_1,Testing,2025-09-28,2025-10-01,95,82,Low,30.97,True,No,Manager,Done
32,Bug Fixing task #32,Urgently work on bug fixing for project #17.,user_10,user_4,Bug Fixing,2025-09-20,2025-09-22,274,393,High,97.78,True,Yes,Manager,Done
33,Documentation task #33, work on documentation for project #21.,user_6,user_4,Documentation,2025-09-13,2025-09-16,403,449,Low,39.8,True,No,Developer,Done
34,Bug Fixing task #34,Urgently work on bug fixing for project #9.,user_1,user_8,Bug Fixing,2025-09-03,2025-09-12,169,268,Medium,54.13,True,Yes,Manager,Done
35,Meeting task #35,Urgently work on meeting for project #40.,user_2,user_4,Meeting,2025-09-10,2025-09-13,284,393,High,82.34,True,Yes,Developer,Done
36,Development task #36,Please work on development for project #7.,user_9,user_1,Development,2025-09-30,2025-10-02,128,165,Low,21.69,True,No,Developer,Done
37,Development task #37,Kindly work on development for project #44.,user_9,user_3,Development,2025-09-10,2025-09-20,167,224,Medium,43.13,True,No,Developer,Done
38,Development task #38,Urgently work on development for project #3.,user_5,user_9,Development,2025-09-09,2025-09-10,107,185,Medium,40.6,True,Yes,QA Engineer,Done
39,Bug Fixing task #39,Please work on bug fixing for project #8.,user_6,user_3,Bug Fixing,2025-09-06,2025-09-14,342,421,Low,20.08,True,No,Developer,Done
40,Bug Fixing task #40,Kindly work on bug fixing for project #28.,user_3,user_9,Bug Fixing,2025-09-27,2025-10-03,358,469,Medium,42.95,True,No,Manager,Done
41,Documentation task #41,Kindly work on documentation for project #43.,user_1,user_5,Documentation,2025-09-29,2025-09-30,243,266,Medium,51.08,True,No,Developer,Done
42,Bug Fixing task #42,Kindly work on bug fixing for project #27.,user_6,user_9,Bug Fixing,2025-09-20,2025-09-23,181,192,Medium,42.57,True,No,QA Engineer,Done
43,Bug Fixing task #43,Please work on bug fixing for project #25.,user_3,user_6,Bug Fixing,2025-09-26,2025-09-30,196,206,Low,38.27,True,No,QA Engineer,Done
44,Bug Fixing task #44,Kindly work on bug fixing for project #15.,user_8,user_4,Bug Fixing,2025-09-27,2025-10-05,239,287,Low,35.48,True,No,Team Lead,Done
45,Bug Fixing task #45,Urgently work on bug fixing for project #42.,user_4,user_7,Bug Fixing,2025-09-09,2025-09-11,455,496,Medium,47.82,True,Yes,Developer,Done
46,Testing task #46,Urgently work on testing for project #3.,user_7,user_9,Testing,2025-09-01,2025-09-03,193,208,Medium,59.2,True,Yes,Developer,Done
47,Bug Fixing task #47,Please work on bug fixing for project #25.,user_10,user_7,Bug Fixing,2025-09-24,2025-09-30,283,383,Low,33.09,True,No,Developer,Done
48,Testing task #48,Kindly work on testing for project #24.,user_4,user_5,Testing,2025-09-23,2025-09-30,60,163,Medium,55.86,True,No,Manager,Done
