task_id,title,description,created_at,due_date,creator,assignee,priority,workload_hours,assignee_completed_tasks,assignee_avg_completion_days,status,days_to_due,is_overdue
1,Design landing page,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-30 22:25:59.627850,2025-10-09 22:25:59.627850,bob,bob,0,2,193,0.96,done,9,0
2,Research new lib,Create responsive landing page for product X using Figma mockups.,2025-09-20 22:25:59.627850,2025-10-04 22:25:59.627850,alice,alice,0,1,60,1.55,done,14,0
3,Fix login bug,Investigate new ML library for text embeddings and feasibility.,2025-08-26 22:25:59.627850,2025-09-13 22:25:59.627850,diana,bob,2,4,155,1.75,open,18,1
4,Prepare monthly report,Optimize slow queries causing high CPU usage on replica DB.,2025-09-04 22:25:59.627850,2025-09-13 22:25:59.627850,bob,bob,0,12,91,0.96,in_progress,9,1
5,Design landing page,Respond to important client email about billing dispute.,2025-10-07 22:25:59.627850,2025-10-19 22:25:59.627850,charlie,alice,0,8,122,2.91,in_progress,12,0
6,Design landing page,Investigate new ML library for text embeddings and feasibility.,2025-09-01 22:25:59.627850,2025-09-21 22:25:59.627850,charlie,bob,0,8,22,0.71,open,20,1
7,Update dependencies,Create responsive landing page for product X using Figma mockups.,2025-10-07 22:25:59.627850,2025-10-15 22:25:59.627850,alice,diana,0,3,121,3.36,in_progress,8,0
8,Prepare monthly report,Respond to important client email about billing dispute.,2025-09-05 22:25:59.627850,2025-09-12 22:25:59.627850,charlie,alice,1,6,167,1.27,done,7,0
9,Deploy microservice,Gather sales data and prepare report for stakeholders by Friday.,2025-09-12 22:25:59.627850,2025-09-25 22:25:59.627850,charlie,bob,2,8,88,4.29,open,13,1
10,Deploy microservice,User cannot login with social auth. Error 500 observed on POST /auth.,2025-10-04 22:25:59.627850,2025-10-15 22:25:59.627850,diana,charlie,2,1,59,4.61,done,11,0
11,Customer email reply,Deploy new service to production cluster and monitor for errors.,2025-09-24 22:25:59.627850,2025-10-10 22:25:59.627850,diana,diana,0,2,72,1.13,done,16,0
12,Research new lib,Investigate new ML library for text embeddings and feasibility.,2025-08-30 22:25:59.627850,2025-09-18 22:25:59.627850,diana,diana,0,3,61,4.99,open,19,1
13,Research new lib,Write unit tests for payment module to improve coverage.,2025-08-19 22:25:59.627850,2025-08-21 22:25:59.627850,alice,bob,2,8,45,4.06,in_progress,2,1
14,Plan sprint,Create responsive landing page for product X using Figma mockups.,2025-09-07 22:25:59.627850,2025-09-20 22:25:59.627850,diana,charlie,0,6,7,3.56,open,13,1
15,Research new lib,Update package.json dependencies and run compatibility tests.,2025-10-02 22:25:59.627850,2025-10-13 22:25:59.627850,alice,charlie,0,4,45,2.54,done,11,0
16,Update dependencies,Investigate new ML library for text embeddings and feasibility.,2025-10-01 22:25:59.627850,2025-10-07 22:25:59.627850,alice,charlie,1,12,168,2.78,open,6,1
17,Prepare monthly report,Respond to important client email about billing dispute.,2025-10-01 22:25:59.627850,2025-10-07 22:25:59.627850,alice,charlie,1,4,9,1.0,in_progress,6,1
18,Update dependencies,Deploy new service to production cluster and monitor for errors.,2025-08-17 22:25:59.627850,2025-08-25 22:25:59.627850,alice,alice,0,8,129,4.17,done,8,0
19,Prepare monthly report,Gather sales data and prepare report for stakeholders by Friday.,2025-09-25 22:25:59.627850,2025-10-11 22:25:59.627850,bob,charlie,0,6,160,2.4,open,16,1
20,Research new lib,Deploy new service to production cluster and monitor for errors.,2025-09-28 22:25:59.627850,2025-10-08 22:25:59.627850,diana,charlie,0,4,137,2.53,open,10,1
21,Deploy microservice,Create responsive landing page for product X using Figma mockups.,2025-09-04 22:25:59.627850,2025-09-05 22:25:59.627850,bob,bob,2,1,23,3.69,open,1,1
