task_id,title,description,created_at,due_date,creator,assignee,priority,workload_hours,assignee_completed_tasks,assignee_avg_completion_days,status,days_to_due,is_overdue,text_raw,tokens,stems,lemmas
1,Design landing page,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-30 22:25:59.627850,2025-10-09 22:25:59.627850,bob,bob,0,2,193,0.96,done,9,0,Design landing page. User cannot login with social auth. Error 500 observed on POST /auth.,"['design', 'landing', 'page', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",design land page user login social auth error 500 observ post auth,design landing page user login social auth error 500 observed post auth
2,Research new lib,Create responsive landing page for product X using Figma mockups.,2025-09-20 22:25:59.627850,2025-10-04 22:25:59.627850,alice,alice,0,1,60,1.55,done,14,0,Research new lib. Create responsive landing page for product X using Figma mockups.,"['research', 'new', 'lib', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",research new lib creat respons land page product use figma mockup,research new lib create responsive landing page product using figma mockups
3,Fix login bug,Investigate new ML library for text embeddings and feasibility.,2025-08-26 22:25:59.627850,2025-09-13 22:25:59.627850,diana,bob,2,4,155,1.75,open,18,1,Fix login bug. Investigate new ML library for text embeddings and feasibility.,"['fix', 'login', 'bug', 'investigate', 'new', 'ml', 'library', 'text', 'embeddings', 'feasibility']",fix login bug investig new ml librari text embed feasibl,fix login bug investigate new ml library text embeddings feasibility
4,Prepare monthly report,Optimize slow queries causing high CPU usage on replica DB.,2025-09-04 22:25:59.627850,2025-09-13 22:25:59.627850,bob,bob,0,12,91,0.96,in_progress,9,1,Prepare monthly report. Optimize slow queries causing high CPU usage on replica DB.,"['prepare', 'monthly', 'report', 'optimize', 'slow', 'queries', 'causing', 'high', 'cpu', 'usage', 'replica', 'db']",prepar monthli report optim slow queri caus high cpu usag replica db,prepare monthly report optimize slow query causing high cpu usage replica db
5,Design landing page,Respond to important client email about billing dispute.,2025-10-07 22:25:59.627850,2025-10-19 22:25:59.627850,charlie,alice,0,8,122,2.91,in_progress,12,0,Design landing page. Respond to important client email about billing dispute.,"['design', 'landing', 'page', 'respond', 'important', 'client', 'email', 'billing', 'dispute']",design land page respond import client email bill disput,design landing page respond important client email billing dispute
6,Design landing page,Investigate new ML library for text embeddings and feasibility.,2025-09-01 22:25:59.627850,2025-09-21 22:25:59.627850,charlie,bob,0,8,22,0.71,open,20,1,Design landing page. Investigate new ML library for text embeddings and feasibility.,"['design', 'landing', 'page', 'investigate', 'new', 'ml', 'library', 'text', 'embeddings', 'feasibility']",design land page investig new ml librari text embed feasibl,design landing page investigate new ml library text embeddings feasibility
7,Update dependencies,Create responsive landing page for product X using Figma mockups.,2025-10-07 22:25:59.627850,2025-10-15 22:25:59.627850,alice,diana,0,3,121,3.36,in_progress,8,0,Update dependencies. Create responsive landing page for product X using Figma mockups.,"['update', 'dependencies', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",updat depend creat respons land page product use figma mockup,update dependency create responsive landing page product using figma mockups
8,Prepare monthly report,Respond to important client email about billing dispute.,2025-09-05 22:25:59.627850,2025-09-12 22:25:59.627850,charlie,alice,1,6,167,1.27,done,7,0,Prepare monthly report. Respond to important client email about billing dispute.,"['prepare', 'monthly', 'report', 'respond', 'important', 'client', 'email', 'billing', 'dispute']",prepar monthli report respond import client email bill disput,prepare monthly report respond important client email billing dispute
9,Deploy microservice,Gather sales data and prepare report for stakeholders by Friday.,2025-09-12 22:25:59.627850,2025-09-25 22:25:59.627850,charlie,bob,2,8,88,4.29,open,13,1,Deploy microservice. Gather sales data and prepare report for stakeholders by Friday.,"['deploy', 'microservice', 'gather', 'sales', 'data', 'prepare', 'report', 'stakeholders', 'friday']",deploy microservic gather sale data prepar report stakehold friday,deploy microservice gather sale data prepare report stakeholder friday
10,Deploy microservice,User cannot login with social auth. Error 500 observed on POST /auth.,2025-10-04 22:25:59.627850,2025-10-15 22:25:59.627850,diana,charlie,2,1,59,4.61,done,11,0,Deploy microservice. User cannot login with social auth. Error 500 observed on POST /auth.,"['deploy', 'microservice', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",deploy microservic user login social auth error 500 observ post auth,deploy microservice user login social auth error 500 observed post auth
11,Customer email reply,Deploy new service to production cluster and monitor for errors.,2025-09-24 22:25:59.627850,2025-10-10 22:25:59.627850,diana,diana,0,2,72,1.13,done,16,0,Customer email reply. Deploy new service to production cluster and monitor for errors.,"['customer', 'email', 'reply', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",custom email repli deploy new servic product cluster monitor error,customer email reply deploy new service production cluster monitor error
12,Research new lib,Investigate new ML library for text embeddings and feasibility.,2025-08-30 22:25:59.627850,2025-09-18 22:25:59.627850,diana,diana,0,3,61,4.99,open,19,1,Research new lib. Investigate new ML library for text embeddings and feasibility.,"['research', 'new', 'lib', 'investigate', 'new', 'ml', 'library', 'text', 'embeddings', 'feasibility']",research new lib investig new ml librari text embed feasibl,research new lib investigate new ml library text embeddings feasibility
13,Research new lib,Write unit tests for payment module to improve coverage.,2025-08-19 22:25:59.627850,2025-08-21 22:25:59.627850,alice,bob,2,8,45,4.06,in_progress,2,1,Research new lib. Write unit tests for payment module to improve coverage.,"['research', 'new', 'lib', 'write', 'unit', 'tests', 'payment', 'module', 'improve', 'coverage']",research new lib write unit test payment modul improv coverag,research new lib write unit test payment module improve coverage
14,Plan sprint,Create responsive landing page for product X using Figma mockups.,2025-09-07 22:25:59.627850,2025-09-20 22:25:59.627850,diana,charlie,0,6,7,3.56,open,13,1,Plan sprint. Create responsive landing page for product X using Figma mockups.,"['plan', 'sprint', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",plan sprint creat respons land page product use figma mockup,plan sprint create responsive landing page product using figma mockups
15,Research new lib,Update package.json dependencies and run compatibility tests.,2025-10-02 22:25:59.627850,2025-10-13 22:25:59.627850,alice,charlie,0,4,45,2.54,done,11,0,Research new lib. Update package.json dependencies and run compatibility tests.,"['research', 'new', 'lib', 'update', 'package', 'json', 'dependencies', 'run', 'compatibility', 'tests']",research new lib updat packag json depend run compat test,research new lib update package json dependency run compatibility test
