task_id,title,description,created_at,due_date,creator,assignee,priority,workload_hours,assignee_completed_tasks,assignee_avg_completion_days,status
1,Design landing page,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-30 22:41:20.272791,2025-10-09 22:41:20.272791,bob,bob,0,2,193,0.96,done
2,Research new lib,Create responsive landing page for product X using Figma mockups.,2025-09-20 22:41:20.272791,2025-10-04 22:41:20.272791,alice,alice,0,1,60,1.55,done
3,Fix login bug,Investigate new ML library for text embeddings and feasibility.,2025-08-26 22:41:20.272791,2025-09-13 22:41:20.272791,diana,bob,2,4,155,1.75,open
4,Prepare monthly report,Optimize slow queries causing high CPU usage on replica DB.,2025-09-04 22:41:20.272791,2025-09-13 22:41:20.272791,bob,bob,0,12,91,0.96,in_progress
5,Design landing page,Respond to important client email about billing dispute.,2025-10-07 22:41:20.272791,2025-10-19 22:41:20.272791,charlie,alice,0,8,122,2.91,in_progress
6,Design landing page,Investigate new ML library for text embeddings and feasibility.,2025-09-01 22:41:20.272791,2025-09-21 22:41:20.272791,charlie,bob,0,8,22,0.71,open
7,Update dependencies,Create responsive landing page for product X using Figma mockups.,2025-10-07 22:41:20.272791,2025-10-15 22:41:20.272791,alice,diana,0,3,121,3.36,in_progress
8,Prepare monthly report,Respond to important client email about billing dispute.,2025-09-05 22:41:20.272791,2025-09-12 22:41:20.272791,charlie,alice,1,6,167,1.27,done
9,Deploy microservice,Gather sales data and prepare report for stakeholders by Friday.,2025-09-12 22:41:20.272791,2025-09-25 22:41:20.272791,charlie,bob,2,8,88,4.29,open
10,Deploy microservice,User cannot login with social auth. Error 500 observed on POST /auth.,2025-10-04 22:41:20.272791,2025-10-15 22:41:20.272791,diana,charlie,2,1,59,4.61,done
11,Customer email reply,Deploy new service to production cluster and monitor for errors.,2025-09-24 22:41:20.272791,2025-10-10 22:41:20.272791,diana,diana,0,2,72,1.13,done
12,Research new lib,Investigate new ML library for text embeddings and feasibility.,2025-08-30 22:41:20.272791,2025-09-18 22:41:20.272791,diana,diana,0,3,61,4.99,open
13,Research new lib,Write unit tests for payment module to improve coverage.,2025-08-19 22:41:20.272791,2025-08-21 22:41:20.272791,alice,bob,2,8,45,4.06,in_progress
14,Plan sprint,Create responsive landing page for product X using Figma mockups.,2025-09-07 22:41:20.272791,2025-09-20 22:41:20.272791,diana,charlie,0,6,7,3.56,open
15,Research new lib,Update package.json dependencies and run compatibility tests.,2025-10-02 22:41:20.272791,2025-10-13 22:41:20.272791,alice,charlie,0,4,45,2.54,done
16,Update dependencies,Investigate new ML library for text embeddings and feasibility.,2025-10-01 22:41:20.272791,2025-10-07 22:41:20.272791,alice,charlie,1,12,168,2.78,open
17,Prepare monthly report,Respond to important client email about billing dispute.,2025-10-01 22:41:20.272791,2025-10-07 22:41:20.272791,alice,charlie,1,4,9,1.0,in_progress
18,Update dependencies,Deploy new service to production cluster and monitor for errors.,2025-08-17 22:41:20.272791,2025-08-25 22:41:20.272791,alice,alice,0,8,129,4.17,done
19,Prepare monthly report,Gather sales data and prepare report for stakeholders by Friday.,2025-09-25 22:41:20.272791,2025-10-11 22:41:20.272791,bob,charlie,0,6,160,2.4,open
20,Research new lib,Deploy new service to production cluster and monitor for errors.,2025-09-28 22:41:20.272791,2025-10-08 22:41:20.272791,diana,charlie,0,4,137,2.53,open
21,Deploy microservice,Create responsive landing page for product X using Figma mockups.,2025-09-04 22:41:20.272791,2025-09-05 22:41:20.272791,bob,bob,2,1,23,3.69,open
22,Deploy microservice,Create responsive landing page for product X using Figma mockups.,2025-10-10 22:41:20.272791,2025-10-12 22:41:20.272791,charlie,alice,2,6,65,1.75,in_progress
23,Deploy microservice,Investigate new ML library for text embeddings and feasibility.,2025-08-22 22:41:20.272791,2025-09-10 22:41:20.272791,diana,bob,2,12,126,4.13,open
24,Design landing page,Create responsive landing page for product X using Figma mockups.,2025-09-25 22:41:20.272791,2025-10-09 22:41:20.272791,charlie,diana,0,4,124,4.39,open
25,Design landing page,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-08 22:41:20.272791,2025-09-19 22:41:20.272791,alice,bob,0,2,53,2.91,open
26,Optimize DB queries,Gather sales data and prepare report for stakeholders by Friday.,2025-08-31 22:41:20.272791,2025-09-15 22:41:20.272791,bob,alice,0,4,145,0.94,done
27,Research new lib,User cannot login with social auth. Error 500 observed on POST /auth.,2025-08-19 22:41:20.272791,2025-08-27 22:41:20.272791,bob,diana,0,4,128,1.46,in_progress
28,Fix login bug,Gather sales data and prepare report for stakeholders by Friday.,2025-09-07 22:41:20.272791,2025-09-08 22:41:20.272791,diana,charlie,2,12,121,1.78,done
29,Research new lib,Write unit tests for payment module to improve coverage.,2025-08-23 22:41:20.272791,2025-08-30 22:41:20.272791,charlie,bob,1,1,153,3.81,open
30,Customer email reply,User cannot login with social auth. Error 500 observed on POST /auth.,2025-08-17 22:41:20.272791,2025-09-05 22:41:20.272791,diana,bob,0,1,135,0.86,open
31,Design landing page,Plan sprint items and assign tasks to frontend/backend teams.,2025-08-18 22:41:20.272791,2025-08-26 22:41:20.272791,diana,alice,0,6,68,3.11,open
32,Plan sprint,Create responsive landing page for product X using Figma mockups.,2025-09-09 22:41:20.272791,2025-09-28 22:41:20.272791,charlie,charlie,0,2,176,3.72,open
33,Update dependencies,Optimize slow queries causing high CPU usage on replica DB.,2025-08-22 22:41:20.272791,2025-09-01 22:41:20.272791,diana,charlie,0,12,23,0.54,done
34,Plan sprint,Create responsive landing page for product X using Figma mockups.,2025-08-18 22:41:20.272791,2025-09-05 22:41:20.272791,bob,charlie,0,2,94,4.46,open
